信件标题,信件编号,办理单位,状态,类型,链接
气功超能力犯罪很难收集证据 但是如果有充足和直接证据呢？,G20180701-0018,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016455c9bef62bd9
举报超能力 气功犯罪组织,G20180701-0017,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016455c0a6b32bd7
投诉大连约健体育，云起传媒霸王条款，侵吞消费款项,G20180701-0016,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016455a114072bcd
其实上面就是故意给错误任务 然后承担责任 然后一勺烩了,G20180701-0015,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645550e93f2bc0
央行“死命令“：支付宝微信被“收编“ 躺着挣钱被终结,G20180701-0014,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164554437472bb8
紧急飘过来 眯缝眼 央行要对支付宝 微信支付下手 大家没有钱了,G20180701-0013,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164554282812bb7
拉树房妈祖庙海边违规收费,G20180701-0012,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016454db6ce42b9b
建议大连 人工降雨 适度 且专业 确保大连市民舒适幸福生活,G20180701-0010,大连市气象局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016454aee4eb2b8f
市建无进展,G20180701-0007,大连地铁建设有限公司,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645425639f2b67
百年港湾奥特莱斯开发商是否有预售许可证,G20180701-0002,国土资源和房屋局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164530492f32b1a
噪音顽疾，严重影响身心健康，无法正常生活，再次肯求政府部门能够有效的为人民服务,G20180701-0001,环境保护局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164516a51442ad7
依据国家主席62号令证据举报国礼医院 且本人父亲为出生期精神病人,G20180630-0027,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301645112164f2ac1
国家主席令62号令 大连国礼医院自2012疯狂撕毁对抗国家主席令,G20180630-0026,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164511009ef2ac0
卢斌朱武乱七八糟的亲友技校学生的 终身不得录用,G20180630-0022,大连市公共行政服务中心,已办结,表扬,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016450a406802aa3
大连春柳柳华街32号五楼6号 碎嘴子 没事找事,G20180630-0021,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164506cc91e2a94
李嘉诚辞职后全国崩盘 哈哈 人民领袖薛玉,G20180630-0014,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301644ed89eef2a37
当兵钱还给么,G20180630-0011,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301644ed223ea2a32
当兵钱给不给,G20180630-0010,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301644eb3929f2a26
举报宗教力量滥用犯罪嫌疑人李桂芳,G20180630-0009,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301644e3c93d92a05
建议,G20180630-0007,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301644ddcdcea29e3
公安阴阳术原理,G20180630-0006,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301644db67c1e29d9
大连科技广场英斯特健身中心老板卷钱跑路,G20180629-0028,解放广场管理所,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301644bc622062960
关于2018年招收小学生入学的问题,G20180629-0026,普兰店区人民政府,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301644b53949a293f
露天烧烤苦不堪言！！,G20180629-0015,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301644a3a5e4d28d7
临建.强占土地.大型混凝土水泥块堵路,G20180629-0013,瓦房店市,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301644a212cca28c8
希望得到大连市沙河口区政府的帮助！,G20180629-0007,大连市公共行政服务中心,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016449b7e696288d
大连开发区名品家居樱花圣洛克不退“定金”,G20180629-0006,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016449ab61a92885
社会实践报告,G20180628-0036,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016445b97da426fb
瓦房店千家万户食品厂管理者(张兴)敲诈勒索他人财务,G20180628-0034,瓦房店市人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164458dca1c26e9
投诉无反馈，问什么都是不知道不清楚,G20180628-0032,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164456346a226cd
举报违法临建,G20180628-0025,瓦房店市,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164450b968e269b
关于拼多多平台侵犯我司商标,G20180628-0024,工商行政管理局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016444f691812687
春柳街道敦煌社区楼下垃圾站散发大粪池的恶臭非常严重影响生活,G20180628-0011,沙河口区城建局,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164447cb7582639
手术室里可以放柜式空调吗？,G20180628-0010,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016444779ee32636
退伍老兵入党政审调查16岁前治安拘留未执行，不予入党,G20180627-0039,普兰店区杨树房街道,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301644182c20c2527
二手房延期过户的风险如何规避？,G20180627-0033,国土资源和房屋局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164405673a0249f
甘井子区阳光润城幼儿园门前的金柳路施工噪音污染严重,G20180627-0027,大连市高速公路管理处,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643fcfa875243e
2018年大连市居家和社区养老示范中心建设的咨询,G20180627-0026,沙河口区民政局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643fcd1cee243b
df,G20180627-0019,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643f8f6d2b2406
请主管部门尽快纠正高新区国土房屋局在“政府信息依申请公开”工作中的严重失误,G20180627-0017,高新区国土房屋局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643f6aa93223f6
军转安置问题：要求落实政策——从事业编制转为行政编制,G20180627-0015,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643f2ae51123cd
何时还我安全的生活环境,G20180627-0006,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643ed9c2722392
由家村辛博街满天扬尘,G20180627-0001,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643e519fbd2351
大连市委组织部不履行职责,G20180626-0042,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643b7102ce224e
档案丢失，如何进行工龄认定？,G20180626-0037,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643b01dc6d2222
本单位职工的科研劳务费如果缴纳个人所得税？,G20180626-0035,地税局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643af42524221a
房屋产权证,G20180626-0034,金普新区管理委员会,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643aeb6fc72214
咨询经济适用房产权办理事项,G20180626-0031,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643acd69d021fa
大连香洲涉嫌非法集资从事传销活动，祸国殃民,G20180626-0028,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643ab79c5821ec
大连香洲涉嫌非法集资从事传销活动，祸国殃民,G20180626-0026,瓦房店市,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643ab2415c21e0
一般涉密人员脱密期管理的问题,G20180626-0027,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643aac6d9221dd
大连香洲涉嫌非法集资从事传销活动，祸国殃民,G20180626-0025,瓦房店市,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643aac55ec21dc
大连湾街道前关村集体土地流失70公顷,G20180626-0019,甘井子区人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016439cf02e12170
甘井子区前关村集体土地流失,G20180626-0016,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016439b603772162
求助寻找我的个人学籍档案,G20180626-0012,教育局,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643998a0ee214c
求助寻找个人学籍档案,G20180626-0011,教育局,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164399204c02145
大连老虎滩海洋公园门票优惠政策歧视残疾人,G20180626-0009,城市建设管理局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643976d0c3212b
网络问题,G20180625-0045,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016436fd503e2058
直系亲属房产过户,G20180625-0043,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016436df27052043
福佳新城经济适用房房产证,G20180625-0030,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164359c42531fb5
物业公司强制要求缴纳物业费才给予电梯卡使用电梯,G20180625-0017,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016434cca6701f4a
为什么交通警察办事大厅周末不上班,G20180625-0012,开发区分局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643496f0761f2c
金山花园第二批解封求助,G20180625-0008,土地储备中心,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164346d33401f11
依法撤销大连和美华商贸有限公司名称登记,G20180625-0010,甘井子区人民政府,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164346a0c171f0d
更改对外贸易备案表中的法人,G20180625-0006,大连市商务局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164345957891f04
弱势群体也有获得感，公平正义在身边不是空话！,G20180625-0005,甘井子区人民政府,已办结,表扬,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164345161aa1f01
甘井子区新星爱维尼小城贝斯特幼儿园疑似爆发疱疹性咽炎,G20180624-0029,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164325068981e89
物业说不交物业费，不允许业主使用电梯,G20180624-0025,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643130d1f51e4d
快快清理大垃圾堆,G20180624-0022,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016430fa762f1e36
取消住房保障,G20180624-0020,住房保障中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164308445611e19
泡崖八区康顺园产权证问题,G20180624-0018,交易发证中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301643073b9ec1e0f
泡崖八区康顺园小区不给办产权证,G20180624-0017,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164306e61c41e0c
土地补贴与政策不符,G20180624-0008,瓦房店市,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301642f6d74731dc2
建议 对大连沙河口区春柳46号陈旧砖瓦房进行修正或者拆除,G20180624-0003,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301642f0c0cdd1d9c
投诉大连青禾装饰工程有限公司不开具发票，不提供售后服务,G20180623-0007,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301642d2b8cc41d3e
产品质量不合格，不合国家标准，商家拒绝退换货！,G20180623-0005,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301642bf52a3f1cf2
“一带一路”后续配套工程，“人类命运共同体”实施方案,G20180622-0041,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301642824a00e1c0d
关于普通住房标准,G20180622-0028,地税局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301642685fbeb1b9e
关于大连昕强金属材料有限公司诈骗一事,G20180622-0025,甘井子区人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164266465f61b91
营业执照怎么办理,G20180622-0023,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164264190d01b7c
瓦房店市政府网怎么打不开?,G20180622-0021,瓦房店市,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301642636a8ba1b74
不动产权证去掉名字怎么办理,G20180622-0017,交易发证中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016425dd26bb1b4d
开发商不给网签将错失国家给予的优惠政策,G20180622-0014,交易发证中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164254516c51b0f
瓦房店市轴承厂1号门口能不能安装一个信号灯？,G20180622-0012,瓦房店市,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164251803491ae6
瓦房店市人社局不为农民工维权,G20180622-0009,瓦房店市人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016424e27dc51aa8
饿了么处罚不合理,G20180622-0007,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016424b417c51a92
辟邪阴阳术,G20180622-0006,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f73016424a4324b1a8d
你们喜欢养金鱼吗？,G20180622-0005,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301642493303f1a8a
金鱼你们喜欢吗？,G20180622-0004,大连市公共行政服务中心,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164249219351a89
施工噪音,G20180622-0002,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164244c8da01a76
没有水喝,G20180621-0022,旅顺口区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164213b28011930
违章建筑,G20180621-0013,西岗区城市管理行政执法局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f730164203d296e18c0
斑马线横冲直闯，没有政府部门管理吗？,G20180621-0009,车管处西岗所,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301642021349818af
辅路总有老人在这里崴脚和盲人道路已经坑坑挖挖,G20180621-0007,甘井子区人民政府,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301641ff0697e1896
开发区小学微信招生事宜,G20180620-0046,金普新区管理委员会,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301641d6bd82f1814
经济开发区安盛中路36号婚纱摄影店欺诈顾客,G20180620-0043,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808162762f7301641cdcd71117ef
